order_id,created_date,status_id,quantity,order_conv_sum
50836286,2021-06-15,14.0,6,297.53999999999996
60939311,2021-11-18,14.0,8,64.74281137778696
50767898,2021-01-17,81.0,1,227.34
53901202,2021-05-02,81.0,5,635.6800000000001
55211250,2021-07-15,81.0,1,187.85
58061964,2021-07-23,14.0,1,107.54
57815357,2021-08-19,14.0,6,409.28
52284618,2021-07-07,65.0,1,113.85
58812562,2021-11-06,14.0,8,127.64
51040279,2021-03-15,14.0,20,144.6
51718540,2021-03-09,14.0,46,626.0497327130568
56875052,2021-06-09,14.0,3,663.6772218539173
60696061,2021-11-21,81.0,1,439.37
61637247,2021-09-28,14.0,5,344.78999999999996
52939103,2021-07-01,81.0,2,110.2
56907895,2021-08-20,1005.0,276,2029.04
58665475,2021-07-03,14.0,1,60.51
59764948,2021-12-10,14.0,2,365.95
57730584,2021-09-27,14.0,5,416.5
54286074,2021-07-20,14.0,2,160.56
50592053,2021-02-06,14.0,2,327.87
59329589,2021-12-22,14.0,7,341.92
55373623,2021-08-24,81.0,11,157.94
51760517,2021-05-21,81.0,14,295.94
59111533,2021-11-15,81.0,1,186.93
56149489,2021-10-08,81.0,4,134.51
51436556,2021-07-25,14.0,1,368.91
52735054,2021-06-11,14.0,2,270.14
57613289,2021-05-29,14.0,4,296.21
52865554,2021-05-05,14.0,4,162.84
53587123,2021-03-23,13.0,3,310.88
60785223,2021-08-01,81.0,1,238.1641326392208
57339020,2021-10-07,65.0,2,85.51
56392489,2021-09-14,14.0,5,268.15999999999997
51078160,2021-06-27,14.0,18,485.88
51007423,2021-06-01,81.0,6,318.77
60067027,2021-11-17,14.0,4,44.31
56377217,2021-06-20,81.0,4,247.35
55494242,2021-09-15,13.0,3,402.06
53514770,2021-08-03,81.0,1,115.06
57480345,2021-10-17,14.0,1,401.786680590497
55157895,2021-05-28,14.0,5,128.48
55464447,2021-07-02,81.0,6,157.18
51984129,2021-04-05,14.0,15,314.22
55293313,2021-07-14,14.0,1,309.7
60368477,2021-10-21,81.0,1,120.71000000000001
57022429,2021-10-15,14.0,2,363.08000000000004
58835220,2021-06-30,14.0,1,370.47
53655503,2021-03-19,14.0,1,250.0
53997982,2021-08-03,81.0,6,408.46
54334234,2021-04-26,14.0,4,371.43
54720049,2021-05-01,81.0,1,203.38
59170202,2021-09-01,81.0,1,231.20999999999998
51602609,2021-04-09,81.0,8,166.04000000000002
52513105,2021-04-20,14.0,1,170.82999999999998
52797275,2021-04-07,14.0,1,247.41
57980719,2021-10-22,14.0,12,275.35
56991854,2021-09-29,14.0,1,384.15999999999997
61546068,2021-08-27,81.0,1,382.32
55062995,2021-08-29,81.0,4,526.88
59789071,2021-07-21,14.0,5,221.71
53849742,2021-04-05,81.0,2,225.13
54816111,2021-05-30,14.0,1,174.52
50875128,2021-01-20,14.0,6,264.6157158814109
61783015,2021-12-05,81.0,13,413.6
54305324,2021-04-25,14.0,4,277.21
56557500,2021-09-25,14.0,3,183.9
58665108,2021-11-06,81.0,1,410.66756878664864
53414785,2021-04-30,81.0,2,840.418402209014
56752984,2021-08-19,65.0,1,17.935230729862674
57254102,2021-10-03,14.0,13,417.28
54155591,2021-04-27,14.0,3,359.38
52786892,2021-03-05,13.0,1,85.06085794165544
61679986,2021-11-12,14.0,6,183.29
51213245,2021-02-05,14.0,1,112.31
50766319,2021-03-19,14.0,1,208.63
53478243,2021-04-30,14.0,9,257.58175258931686
59223124,2021-10-22,14.0,14,490.55
54755372,2021-04-15,81.0,4,106.14
54825944,2021-08-30,14.0,22,426.97
55739746,2021-08-07,14.0,2,28.86
52626058,2021-08-14,14.0,9,632.613177947109
57858956,2021-11-18,14.0,3,200.88596092685145
52017029,2021-02-13,14.0,1,432.15
52233832,2021-04-15,14.0,9,143.3520330103389
51959506,2021-06-10,14.0,1,294.81
56651283,2021-07-29,14.0,1,328.5
57167444,2021-08-20,14.0,1,77.99655937156714
55933980,2021-04-30,14.0,10,202.8
52443477,2021-03-27,81.0,1,240.8
50782680,2021-07-07,14.0,2,463.00570683277545
52925303,2021-08-14,81.0,4,133.0
58865572,2021-11-12,14.0,4,169.43
52675714,2021-03-11,81.0,1,237.98
57138245,2021-10-30,14.0,1,368.65999999999997
54745699,2021-09-01,81.0,1,299.76
59661036,2021-08-23,81.0,1,214.68
58172801,2021-07-21,14.0,1,228.93
60460321,2021-08-05,81.0,1,227.73
50982384,2021-06-29,14.0,5,57.66
57604788,2021-08-29,14.0,2,313.08
61555694,2021-10-31,13.0,4,190.98
50295244,2021-05-21,14.0,9,557.46
51341522,2021-04-12,14.0,1,344.91
55275049,2021-06-14,14.0,1,156.93
52731016,2021-04-10,81.0,5,616.7
52448253,2021-04-03,81.0,1,42.55301102629346
57684260,2021-07-17,81.0,4,372.15999999999997
57717332,2021-09-07,14.0,8,817.5
52718150,2021-05-02,81.0,4,167.98270394057872
55803063,2021-07-01,14.0,1,231.91
52338420,2021-06-28,14.0,2,97.42
53231145,2021-05-18,14.0,1,28.9
55548420,2021-07-10,81.0,1,34.66688110650959
60533329,2021-10-18,14.0,12,260.96000000000004
54481287,2021-05-30,14.0,1,281.40999999999997
59742614,2021-10-05,13.0,3,96.00999999999999
59388041,2021-11-21,14.0,1,354.53
51380773,2021-05-17,14.0,5,132.13424305275308
61543923,2021-11-28,14.0,3,266.12
51000440,2021-02-25,14.0,2,138.86
52168954,2021-03-09,13.0,3,206.12354419892105
60455783,2021-07-27,1006.0,30,439.0
59497555,2021-09-20,14.0,1,385.9
61563423,2022-02-04,14.0,3,243.22967919700847
54740250,2021-06-28,14.0,2,126.27044917257683
51088233,2021-07-06,14.0,12,831.63
52549500,2021-05-06,81.0,15,438.74
61911657,2021-12-21,51.0,1,95.09
53549501,2021-08-07,14.0,3,511.7
52423389,2021-02-25,81.0,1,200.06
60736160,2021-11-24,14.0,3,310.61
59909007,2021-11-07,14.0,49,1225.37
57648424,2021-08-10,14.0,1,220.56
61617322,2022-02-11,14.0,11,323.04
56826257,2021-10-06,14.0,1,114.13
60649363,2022-01-10,81.0,2,197.7
56538697,2021-06-09,14.0,11,331.33
53812498,2021-04-11,14.0,4,516.52
57153139,2021-05-27,14.0,0,130.0
53057176,2021-08-09,81.0,1,414.46350487722833
54279357,2021-08-07,81.0,2,286.2391186740766
58083471,2021-06-05,81.0,1,392.0449387199274
56844389,2021-09-25,13.0,3,422.99
53716794,2021-04-28,14.0,2,237.45999999999998
59484356,2021-08-29,14.0,5,309.04
53845632,2021-05-06,14.0,3,285.82
52322167,2021-05-27,14.0,1,143.17000000000002
59117557,2021-07-09,14.0,1,101.66
60433341,2022-01-01,81.0,1,183.54829181845034
52589503,2021-07-20,14.0,1,231.73000000000002
50366033,2021-02-02,14.0,3,161.83307989366472
51592307,2021-02-28,81.0,3,92.95
56187207,2021-05-14,65.0,1,26.217329381423458
56218332,2021-07-04,14.0,1,97.03
59019364,2021-06-23,14.0,2,272.29
52116246,2021-05-16,81.0,76,3808.8
57298400,2021-08-31,14.0,2,188.14
52085163,2021-03-13,14.0,6,350.32
58023499,2021-10-25,81.0,13,473.03999999999996
51215253,2021-01-24,14.0,1,267.39
53984199,2021-05-19,14.0,2,171.4
59067539,2021-11-08,14.0,3,138.13
55532305,2021-05-19,14.0,5,265.85
53322324,2021-05-20,81.0,1,236.45606531881802
50498198,2021-06-02,81.0,2,150.05
61975822,2021-12-16,81.0,1,40.86
54392728,2021-08-18,14.0,1,167.38
54946410,2021-06-30,14.0,1,262.55
57808366,2021-11-23,81.0,1,145.22
51370057,2021-04-27,81.0,1,506.89
55342554,2021-08-07,14.0,1,159.9886685552408
57041545,2021-06-02,65.0,1,125.51662174303685
53217021,2021-04-04,14.0,1,37.12
61878195,2021-08-29,51.0,2,351.37
52438543,2021-05-20,81.0,9,458.59
59914191,2021-11-30,81.0,1,200.65
60895391,2021-09-25,81.0,22,552.3199999999999
58286626,2021-08-31,81.0,6,912.86
56358256,2021-09-27,81.0,8,370.61
52642611,2021-05-09,14.0,1,28.46
58116263,2021-11-17,14.0,11,280.32
56027323,2021-06-18,81.0,1,383.83000000000004
53818189,2021-05-21,81.0,0,83.0
58521041,2021-09-27,14.0,2,360.89
60122509,2021-10-30,45.0,1,241.73
55126032,2021-08-17,81.0,3,608.4443975076566
55525761,2021-09-20,81.0,6,406.37
59816536,2021-12-09,14.0,10,377.02
51454636,2021-02-19,65.0,1,157.07
58823655,2021-11-22,14.0,6,355.12
61963031,2022-01-01,51.0,1,400.35
55232248,2021-09-28,14.0,2,199.25
60193631,2021-09-26,14.0,2,87.29311748213802
60565938,2021-07-31,81.0,2,485.22
55407931,2021-08-25,81.0,2,196.57999999999998
53880395,2021-03-23,14.0,1,166.69
51835616,2021-03-24,65.0,1,360.81
60584403,2021-08-02,14.0,1,279.05
60629602,2021-08-25,81.0,9,77.96000000000001
53781881,2021-08-20,14.0,2,106.67
51354484,2021-07-03,14.0,1,305.39
58356554,2021-10-24,81.0,1,326.29
51985119,2021-05-18,14.0,2,251.81
58221660,2021-10-14,14.0,2,337.27
60711094,2021-12-08,13.0,1,185.89
52281575,2021-06-30,14.0,2,110.27000000000001
55899133,2021-07-25,81.0,5,329.78
54555417,2021-07-21,14.0,5,464.02
58503252,2021-11-21,14.0,1,90.5632935541024
61095505,2021-09-09,14.0,7,621.5677233429395
55788696,2021-08-13,81.0,2,172.71
52836630,2021-07-16,81.0,1,134.35
59441744,2021-09-18,14.0,2,176.45999999999998
61459350,2022-01-05,14.0,2,48.049365721223246
61209263,2021-12-11,14.0,1,213.42000000000002
61943802,2021-09-28,51.0,1,23.64
60919890,2021-12-27,81.0,16,623.3299999999999
58421436,2021-10-27,14.0,1,415.104578858112
59662621,2021-12-11,162.0,4,261.12
59297246,2021-09-18,14.0,2,329.01
57626080,2021-08-25,14.0,3,151.4528938983212
54291068,2021-07-05,14.0,4,314.82
51391545,2021-05-01,14.0,1,287.13
53774284,2021-07-08,14.0,2,137.43056799856657
50343446,2021-06-29,14.0,1,208.8383555505769
55875199,2021-10-02,14.0,5,163.13378221591978
51841074,2021-02-15,14.0,1,57.52502826884359
53406065,2021-04-12,14.0,1,322.69
61272177,2021-09-22,81.0,3,214.78
56907564,2021-09-03,14.0,2,295.22
56800052,2021-09-04,14.0,1,187.88
51973177,2021-02-18,14.0,4,335.85933068633017
56693029,2021-09-09,81.0,6,367.44
50309343,2021-03-30,13.0,2,313.79
59460398,2021-09-18,14.0,5,108.36213822611684
