orderId,returnId,returnDate
28360519,4750918,2021-07-04
28364486,4751257,2021-10-07
28359176,4751888,2021-07-15
28369992,4750949,2021-10-08
39749888,4396763,2021-05-18
42066104,4432665,2021-03-19
42060637,4432498,2021-04-14
42065329,4432696,2021-02-23
43193100,4345777,2021-03-04
43293188,4591111,2021-06-14
43289209,4591611,2021-07-05
43189131,4345256,2021-07-10
43294355,4592149,2021-05-20
43297581,4591408,2021-07-19
43187888,4345372,2021-03-22
43185171,4344910,2021-04-13
43296132,4591522,2021-04-13
43193594,4344583,2021-05-15
43294503,4591746,2021-09-12
43298245,4591012,2021-06-05
43190586,4344934,2021-07-17
43290555,4591204,2021-08-16
43291823,4591331,2021-04-21
43562225,4577387,2021-09-09
43984180,4660170,2021-04-01
43978665,4659288,2021-08-18
43563821,4577118,2021-07-19
43565057,4576847,2021-04-21
43563977,4576819,2021-08-23
43560139,4576688,2021-06-26
43555445,4576853,2021-04-14
44658803,4332960,2021-02-15
44653411,4332551,2021-06-17
44654543,4333055,2021-07-16
44659834,4332422,2021-05-17
44660745,4332960,2021-05-14
45243446,4635910,2021-04-02
45505246,4463154,2021-03-18
45164329,4635056,2021-09-12
45231477,4635096,2021-05-16
44914439,5463407,2021-10-30
45164639,4636253,2021-08-06
45241635,4635340,2021-04-12
45160515,4635970,2021-05-18
45796147,4313341,2021-03-21
45794746,4313557,2021-05-13
45924205,4407302,2021-05-15
45793652,4312868,2021-01-22
45922776,4406989,2021-06-04
45944156,4407447,2021-07-19
45926499,4407419,2021-03-16
45950965,4407447,2021-03-02
45801081,4314008,2021-06-20
45918094,4407266,2021-05-24
45920788,4408185,2021-07-11
45799872,4313866,2021-03-26
45921897,4406969,2021-05-19
45567088,4407012,2021-05-18
45790351,4313516,2021-03-15
45947446,4406765,2021-06-10
45925221,4406938,2021-06-19
45919080,4407435,2021-07-21
45801506,4313453,2021-02-28
45797937,4313369,2021-06-30
45922608,4407033,2021-05-16
45918726,4407840,2021-06-04
45793461,4312908,2021-03-28
45922393,4408094,2021-02-13
45791977,4312904,2021-06-12
45924642,4408052,2021-06-17
45926771,4408131,2021-08-03
46689664,4363409,2021-07-07
46724296,4333453,2021-06-18
46720068,4334565,2021-01-27
46496857,4426679,2021-06-07
46691108,4363043,2021-07-09
46722653,4333647,2021-05-18
46724438,4334067,2021-05-24
46690410,4363027,2021-03-10
46718663,4333630,2021-06-03
46501558,4427118,2021-04-28
46713744,4334280,2021-06-06
46501568,4427815,2021-04-09
46722061,4333918,2021-02-17
47023939,4519541,2021-07-25
47486658,4314026,2021-02-04
47051218,4286045,2021-04-25
47307299,4485290,2021-08-02
47054719,4285681,2021-05-21
47118175,4293427,2021-03-15
47051207,4285590,2021-01-30
47533439,4368155,2021-06-06
